,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,priceAvg50,priceAvg200,avgVolume
0,MMDM,Modern Media Acquisition Corp.,1.32,0.76,0.01,1.31,1.386,24.45,0.555,1.2419714,1.6646377,700734.0
1,CASY,"Casey's General Stores, Inc.",177.19,0.12,0.21,175.16,179.29,186.58,114.01,178.39143,165.55957,210762.0
2,ULTA,"Ulta Beauty, Inc.",215.02,0.35,0.76,210.01,216.07,304.65,124.05,225.176,219.45743,995642.0
3,LLNW,"Limelight Networks, Inc.",3.99,0.5,0.02,3.8247,4.0,8.19,3.43,5.317714,5.7505713,4601181.0
4,IVAC,"Intevac, Inc.",5.09,0.59,0.03,5.0131,5.13,7.68,3.17,5.478286,5.569643,58487.0
5,CHSCP,CHS Inc.,29.04,-1.36,-0.4,29.04,29.29,30.49,24.0,28.843143,28.404215,13162.0
6,PERI,Perion Network Ltd.,7.36,-1.47,-0.11,7.28,7.5,9.7,3.43,7.1951427,5.9878573,207684.0
7,CYAD,Celyad SA,8.52,-6.58,-0.6,8.52,8.82,13.01,4.1,8.756886,9.814864,6667.0
8,SOCL,Global X Social Media ETF,56.65,1.49,0.83,55.55,56.69,56.69,24.57,50.98343,45.034714,49756.0
9,BGNE,"BeiGene, Ltd.",293.45,-2.18,-6.55,278.02,295.98,322.98,118.55,295.46143,223.91475,241310.0
10,TRMD,TORM plc,6.99,1.75,0.12,6.87,7.18,48.86,6.34,6.8629713,7.3983,32759.0
11,AEY,"ADDvantage Technologies Group, Inc.",1.83,0.0,0.0,1.83,2.09,6.49,1.5,1.9671428,2.2855,165120.0
12,BREW,"Craft Brew Alliance, Inc.",16.51,0.0,0.0,16.49,16.51,16.61,7.14,16.49,15.377522,223645.0
13,BLI,"Berkeley Lights, Inc.",83.45,4.65,3.71,77.825,84.75,89.67,50.26,76.64514,68.51,143250.0
14,EVER,"EverQuote, Inc.",39.76,-0.18,-0.07,38.69,40.18,63.44,21.001,38.082,45.935215,379529.0
