Symbol,Name,Price_Intraday,Change,Percentage_Change
MMDM,Modern Media Acquisition Corp.,1.32,0.01,0.76
CASY,"Casey's General Stores, Inc.",177.19,0.21,0.12
ULTA,"Ulta Beauty, Inc.",215.02,0.76,0.35
LLNW,"Limelight Networks, Inc.",3.99,0.02,0.5
IVAC,"Intevac, Inc.",5.09,0.03,0.59
CHSCP,CHS Inc.,29.04,-0.4,-1.36
PERI,Perion Network Ltd.,7.36,-0.11,-1.47
CYAD,Celyad SA,8.52,-0.6,-6.58
SOCL,Global X Social Media ETF,56.65,0.83,1.49
BGNE,"BeiGene, Ltd.",293.45,-6.55,-2.18
TRMD,TORM plc,6.99,0.12,1.75
AEY,"ADDvantage Technologies Group, Inc.",1.83,0,0
BREW,"Craft Brew Alliance, Inc.",16.51,0,0
BLI,"Berkeley Lights, Inc.",83.45,3.71,4.65
EVER,"EverQuote, Inc.",39.76,-0.07,-0.18
CGRO,Collective Growth Corporation,9.73,-0.07,-0.71
AGYS,"Agilysys, Inc.",30.85,0.23,0.75
BOWXU,Bowx Acquisition Corp.,10.12,0.09,0.9
SSB,South State Corporation,60.66,-1.36,-2.19
LTRX,"Lantronix, Inc.",4.51,-0.11,-2.38
PNQI,Invesco NASDAQ Internet ETF,226.24,2.54,1.14
ENT,Global Eagle Entertainment Inc.,1.9,-0.22,-10.38
ENPH,"Enphase Energy, Inc.",122.53,2.27,1.89
TTPH,"Tetraphase Pharmaceuticals, Inc.",2.2,-0.08,-3.51
BSAE,Invesco BulletShares (R) 2021 USD Emerging Markets Debt ETF,25.33,0,0
BSCL,Invesco BulletShares 2021 Corporate Bond ETF,21.3,-0.01,-0.05
BSCU,,20.035,-0.038,-0.19
BIGC,"BigCommerce Holdings, Inc.",79.5,-5.84,-6.84
RCKT,"Rocket Pharmaceuticals, Inc.",28.87,-2.07,-6.69
ADPT,Adaptive Biotechnologies Corporation,51.3,0.34,0.67
TRVI,"Trevi Therapeutics, Inc.",3.24,-0.2,-5.81
LSACU,LifeSci Acquisition Corp.,17,-1.71,-9.14
NWSA,News Corporation,15.16,1.16,8.29
OXSQ,Oxford Square Capital Corp.,2.53,-0.05,-1.94
DFBH,DFB Healthcare Acquisitions Corp.,3.61,0.02,0.56
APTX,Aptinyx Inc.,3.01,-0.11,-3.53
ALLO,"Allogene Therapeutics, Inc.",27.8,-2,-6.71
AAXN,"Axon Enterprise, Inc.",122.59,14.09,12.99
IDRA,"Idera Pharmaceuticals, Inc.",3.16,-0.13,-3.95
CLLS,Cellectis S.A.,17.06,-1.07,-5.9
NGHCO,National General Holdings Corp.,25.3,0,0
ECOL,"US Ecology, Inc.",33.15,-1.17,-3.41
PRTA,Prothena Corporation plc,12.31,-1.42,-10.34
BGFV,Big 5 Sporting Goods Corporation,9.12,0.05,0.55
CCD,Calamos Dynamic Convertible and Income Fund,24.92,0.48,1.96
TCMD,"Tactile Systems Technology, Inc.",35.61,0.87,2.5
DMPI,"DelMar Pharmaceuticals, Inc.",1.34,0.09,7.2
BTEC,Principal Healthcare Innovators Index ETF,51.28,-0.68,-1.31
ACT,AdvisorShares Vice ETF,27.08,0,0
TIG,"Trean Insurance Group, Inc.",10.11,-0.43,-4.08
IMKTA,"Ingles Markets, Incorporated",36.34,-0.37,-1.01
CNXN,"PC Connection, Inc.",49.78,0.49,0.99
GRVY,"Gravity Co., Ltd.",135.61,1.44,1.07
USOI,Credit Suisse X-Links Crude Oil Shares Covered Call ETNs,4.19,-0.05,-1.18
LFACU,LF Capital Acquisition Corp.,11.5,0,0
MEOH,Methanex Corporation,29.92,-0.59,-1.93
LMAT,"LeMaitre Vascular, Inc.",35.69,1.04,3
KLAC,KLA Corporation,231.68,3.58,1.57
TSG,The Stars Group Inc.,27.31,0,0
NYMTP,"New York Mortgage Trust, Inc.",20.39,0.07,0.34
RFIL,"RF Industries, Ltd.",4.3,0.01,0.23
EQIX,"Equinix, Inc. (REIT)",794.39,13.34,1.71
FDUSG,Fidus Investment Corporation 5.375% Notes Due 2024,24.6,0.21,0.86
CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,19.58,0.06,0.31
USLM,"United States Lime & Minerals, Inc.",95.59,1.34,1.42
SNGX,"Soligenix, Inc.",1.64,-0.02,-1.2
KFRC,Kforce Inc.,36.64,-0.98,-2.6
BSJS,,25.2501,0.0001,0
NDRA,ENDRA Life Sciences Inc.,0.7014,-0.00435,-0.62
NMCI,Navios Maritime Containers L.P.,1.89,0.1,5.59
ANAB,"AnaptysBio, Inc.",28.9,-0.34,-1.16
CVLT,"Commvault Systems, Inc.",43.52,0.01,0.02
BELFB,Bel Fuse Inc.,12.16,-0.58,-4.55
